0,1,2,3,4,5
135400,-28.99,-29.77,-28.89,-29.00,-28.85
135500,-28.89,-30.01,-28.91,-28.95,-28.77
135600,-28.77,-30.31,-28.92,-28.94,-28.77
135700,-28.55,-30.84,-28.79,-28.79,-28.51
135800,-28.56,-30.81,-28.54,-28.61,-28.50
135900,-28.67,-30.55,-28.79,-28.81,-28.65
140000,-28.39,-31.23,-28.43,-28.50,-28.15
140100,-28.40,-31.20,-28.57,-28.60,-28.35
140200,-28.61,-30.69,-28.49,-28.66,-28.49
140300,-28.31,-31.42,-28.53,-28.59,-28.30
140400,-28.30,-31.44,-28.34,-28.36,-28.18
140500,-28.03,-32.10,-28.27,-28.28,-28.02
140600,-27.95,-32.29,-28.03,-28.10,-27.92
140700,-27.96,-32.27,-28.01,-28.06,-27.94
